Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-12,9.47,10.49,7.84,10.0,10.0,1109000,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-15,10.9,11.79,10.4,11.18,11.18,2174000,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-16,11.18,11.32,9.65,10.85,10.85,631800,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-17,10.6,10.99,10.37,10.99,10.99,150800,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-18,10.98,10.98,10.3,10.36,10.36,136100,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-19,10.21,10.85,10.21,10.85,10.85,82000,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-22,10.85,11.24,10.7,10.8,10.8,110500,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-23,10.5,10.89,10.187,10.23,10.23,107600,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-24,10.23,10.617,9.36,9.49,9.49,145000,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-25,9.5,9.599,9.0,9.12,9.12,92900,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-26,9.18,9.31,8.88,9.01,9.01,96100,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-29,9.29,9.92,9.29,9.75,9.75,98000,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-30,9.99,9.99,9.51,9.62,9.62,111800,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-03-31,9.67,9.67,9.3,9.33,9.33,60900,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-04-01,9.52,9.62,9.04,9.34,9.34,56200,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-04-05,9.9,9.92,9.52,9.65,9.65,50300,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-04-06,9.7,9.79,9.5,9.72,9.72,31500,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-04-07,9.7,9.715,9.36,9.37,9.37,34900,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-04-08,9.63,9.634,9.4,9.51,9.51,17200,STKH,Steakholder Foods Ltd ADR,식품 및 담배,,,
2021-04-09,9.7,9.76,9.51,9.59,9.59,26400,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-6.945455026738456,,
2021-04-12,9.59,9.59,9.09,9.23,9.23,41600,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-9.879561920468106,,
2021-04-13,9.33,9.33,8.88,8.9,8.9,34700,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-12.205202216421862,,
2021-04-14,9.1,9.1,8.4,8.56,8.56,78500,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-14.049021791759952,,
2021-04-15,8.77,8.831,8.39,8.39,8.39,41000,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-15.359496199712353,,
2021-04-16,8.5,8.92,8.37,8.87,8.87,38400,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-9.839976121207961,,
2021-04-19,8.98,8.98,8.3,8.34,8.34,46100,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-13.35672947171359,,
2021-04-20,8.4,8.622,8.05,8.2,8.2,64300,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-12.799035456865749,,
2021-04-21,8.08,8.1,7.55,7.88,7.88,80600,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-15.624358374336323,,
2021-04-22,7.7,8.13,7.63,7.7,7.7,64800,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-15.696576108639015,,
2021-04-23,7.8,7.8,7.61,7.77,7.77,30300,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-14.937175423761373,,
2021-04-26,8.11,8.43,7.922,8.306,8.306,48200,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-8.638463703551425,,
2021-04-27,8.5,8.8,8.43,8.69,8.69,29700,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-3.550841957994577,,
2021-04-28,8.7,8.72,8.29,8.425,8.425,45000,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-5.499168264524257,,
2021-04-29,8.6,9.29,8.28,9.29,9.29,18900,STKH,Steakholder Foods Ltd ADR,식품 및 담배,3.8505948521072586,,
2021-04-30,9.03,9.03,8.498,8.62,8.62,23400,STKH,Steakholder Foods Ltd ADR,식품 및 담배,-2.338927614778108,,
